"role","name","url","scholar_url","scholar_id"
"Academic staff","Aman Saleem","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/aman-saleem/","https://scholar.google.co.uk/citations?user=hV1NqTkAAAAJ&hl=en","hV1NqTkAAAAJ"
"Academic staff","Jo Saul","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/jo-saul/","",NA
"Academic staff","Anne Schlottmann","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/anne-schlottmann/","",NA
"Academic staff","David Shanks","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/david-shanks/","http://scholar.google.co.uk/citations?user=n3ulrqAAAAAJ&hl=en","n3ulrqAAAAAJ"
"Academic staff","Tali Sharot","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/dr-tali-sharot/","http://scholar.google.co.uk/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Tali+Sharot&as_publication=&as_ylo=&as_yhi=&as_allsubj=all&hl=en","TlsRVLcAAAAJ"
"Academic staff","Henrik Singmann","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/henrik-singmann/","https://scholar.google.com/citations?user=UgdOYaIAAAAJ","UgdOYaIAAAAJ"
"Academic staff","Metodi Siromahov","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/metodi-siromahov/","http://scholar.google.co.uk/citations?user=2SAofTMAAAAJ","2SAofTMAAAAJ"
"Academic staff","Jeremy Skipper","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/jeremy-skipper/","http://scholar.google.co.uk/citations?user=mHXj6_IAAAAJ&hl=en","mHXj6_IAAAAJ"
"Academic staff","Samuel Solomon","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/samuel-solomon/","http://scholar.google.co.uk/citations?user=TFP4rqcAAAAJ&hl=en","TFP4rqcAAAAJ"
"Academic staff","Maarten Speekenbrink","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/maarten-speekenbrink/","http://scholar.google.co.uk/citations?user=I37Yg2kAAAAJ&hl=en","I37Yg2kAAAAJ"
"Academic staff","Hugo Spiers","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/hugo-spiers-2/","http://scholar.google.co.uk/citations?user=EmUb9kkAAAAJ&hl=en","EmUb9kkAAAAJ"
"Academic staff","Gabriella Vigliocco","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/gabriella-vigliocco/","http://scholar.google.co.uk/citations?user=sd9QpNEAAAAJ&hl=en","sd9QpNEAAAAJ"
"Academic staff","David Vinson","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/david-vinson/","","_sl6MuoAAAAJ"
"Academic staff","Bencie Woll","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/bencie-woll/","","Q7n8eE4AAAAJ"
"Researchers","Amalia Papanikolaou","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/amalia-papanikolaou/","http://scholar.google.com/citations?user=caC-TNAAAAAJ&hl=en&oi=ao","caC-TNAAAAAJ"
"Researchers","Joanna Atkinson","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/joanna-atkinson/","",NA
"Researchers","Sebastian Bobadilla Suarez","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/sebastian-bobadilla-suarez/","","4OoF_QcAAAAJ"
"Researchers","Gwen Brekelmans","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/gwen-brekelmans/","","4hFXvhoAAAAJ"
"Researchers","Ricarda Brieke","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/ricarda-brieke/","",NA
"Researchers","Donal Cahill","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/donal-cahill/","",NA
"Researchers","Ariel Cecchi","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/ariel-cecchi/","","y-7iaPcAAAAJ"
"Researchers","James Cooke","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/james-cook/","",NA
"Researchers","Irene Cogliati Dezza","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/irene-cogliati-dezza-2/","","yimE3hgAAAAJ"
"Researchers","Irene Cogliati Dezza","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/irene-cogliati-dezza/","","yimE3hgAAAAJ"
"Researchers","Ed Donnellan","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/ed-donnellan/","https://scholar.google.com/citations?user=eHrL9s8AAAAJ&hl=en","eHrL9s8AAAAJ"
"Researchers","Shona Duguid","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/shona-duguid/","https://scholar.google.de/citations?user=4if4LjkAAAAJ&hl=en","4if4LjkAAAAJ"
"Researchers","Neil Fox","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/neil-fox/","",NA
"Researchers","Yan Gu","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/yan-gu-2/","https://scholar.google.com/citations?user=5mcEdrwAAAAJ&hl=en","5mcEdrwAAAAJ"
"Researchers","Olivia Guest","https://www.ucl.ac.uk/pals/research/experimental-psychology/person/olivia-guest/","http://scholar.google.co.uk/citations?user=ZHGrUooAAAAJ","ZHGrUooAAAAJ"
